,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
3272,4065,27/11/2018,Slieveglass wind farm (Energia),Slieveglass,Wind Onshore,6.9,2.3,3.0,,Operational,"Bullock Park, Drumquin, Co. Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,40796,540968.0,10/08/2018,"(54.63549261307304, -7.569239949735478)"
3273,4066,19/03/2015,Erne Concrete Pumping,Molly Mountain,Wind Onshore,15.0,3.0,5.0,,Operational,Land at Molly Mountain near Derrylin,Co. Fermanagh,Northern Ireland,Northern Ireland,,32559,492702.0,03/12/2014,"(54.19792098703525, -7.636503300136311)"
3274,4067,22/12/2016,RES/ Aviva,Turncole Wind Farm,Wind Onshore,17.5,2.0,7.0,,Operational,"Turncole Farm, The Marshes, Southminster, Essex",Essex,Eastern,England,CM0 7JJ,598482,198640.0,22/12/2016,"(51.65150307491184, 0.8677614889550065)"
3275,4068,01/08/2017,Severn Trent Water,Derby Sewage Treatment Works,Wind Onshore,5.0,3.4,2.0,,Operational,"Megaloughton Lane, Spondon, Derby",Derbyshire,East Midlands,England,,439567,334685.0,15/05/2014,"(52.908146457585445, -1.4131266561399742)"
3276,4069,31/07/2017,Octopus Investements/Blue Energy,Grange,Wind Onshore,12.3,2.05,6.0,,Operational,"Grange Farmhouse, Land adjacent to, Flixborough",Humberside,Yorkshire and Humber,England,,486042,416496.0,15/12/2015,"(53.63791854594352, -0.700121316372762)"
3277,4070,31/03/2017,RWE Npower Renewables,Goole Fields ll Wind Farm,Wind Onshore,34.9,2.05,17.0,,Operational,"approximately 2km south of Old Goole, immediately to the west of the consented Goole Fields Wind Farm.",Humberside,Yorkshire and Humber,England,,473632,420610.0,14/11/2016,"(53.67677911724425, -0.8868023015766807)"
3279,4072,31/10/2016,Vento Ludens,Edintore Wind Farm,Wind Onshore,18.0,3.0,6.0,,Operational,"Edintore, Keith, Moray",Grampian,Scotland,Scotland,AB55 5PJ,342422,846573.0,31/10/2016,"(57.505676005746906, -2.96253424650793)"
3280,4073,14/09/2021,RPMI Railpen (formerly BayWa),Tralorg Wind Farm,Wind Onshore,20.0,2.5,8.0,,Operational,2km to the east of Girvan,Strathclyde,Scotland,Scotland,,221728,598656.0,01/06/2020,"(55.2497706457218, -4.8061708857371155)"
3282,4075,22/03/2016,Shetland Aerogenerators ,Gremista Wind Farm,Wind Onshore,3.0,3.0,1.0,,Operational,"Luggies Knowe, Gremista, Lerwick",Shetland,Scotland,Scotland,,446287,1145628.0,15/11/2015,"(60.19242627855018, -1.1671176568388182)"
3283,4076,11/12/2019,TCI Renewables,Common Barn Wind Farm,Wind Onshore,6.2,3.0,3.0,,Operational,"Church Farm, Southoe, Huntingdonshire",Cambridgeshire,Eastern,England,,516918,265736.0,09/05/2019,"(52.277347677190775, -0.2877075861019222)"
3285,4078,04/07/2017,Rev Ltd,Clentrie Wind Farm (Gevens),Wind Onshore,6.9,2.3,3.0,,Operational,"Clentrie Farm, Fife",Fife,Scotland,Scotland,,322212,692370.0,24/10/2016,"(56.11771426306917, -3.2526362075832758)"
3288,4081,23/05/2016,Energia Renewables,Thornog Windfarm Extension,Wind Onshore,9.2,2.3,4.0,,Operational,"Thornog, 
Meenadoan townland, 
Drumquin. 
Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,41160,537686.0,22/12/2014,"(54.60639593458442, -7.559610888480186)"
3291,4084,28/07/2016,Blue Energy,Kelmarsh Wind Farm (Resubmission),Wind Onshore,12.5,2.5,5.0,,Operational,"Land To The South Of The A14 And North Of Haselbech, Kelmarsh, Northamptonshire",Northamptonshire,East Midlands,England,,470868,278823.0,01/07/2016,"(52.40283884315519, -0.9597649959622729)"
3292,4085,29/06/2015,Capital Dynamics,Torrance Farm Wind Park Extension,Wind Onshore,5.7,3.0,2.0,,Operational,NETHERTON FARM Westcraigs Road Harthill Shotts North Lanarkshire ,Strathclyde,Scotland,Scotland,ML7 5TT,290908,666200.0,18/06/2015,"(55.87656460351284, -3.7452393597722353)"
3295,4088,19/04/2016,Collier Quarrying Group,Goathill Quarry Turbine,Wind Onshore,2.0,2.0,1.0,,Operational,Goathill Quarry Easter Bucklyvie Cowdenbeath Fife,Fife,Scotland,Scotland,KY4 8ES,317941,688959.0,27/12/2015,"(56.08636054892276, -3.320256650062225)"
3298,4093,27/07/2015,Clenergy,Skeddoway Farm Wind Turbine,Wind Onshore,1.5,1.5,1.0,,Operational,Skeddoway Farm Strathore Road Strathore Thornton ,Fife,Scotland,Scotland,,328104,697699.0,01/12/2014,"(56.16650730098417, -3.159339173079226)"
3299,4094,04/05/2017,Capital Dynamics,Middle Balbeggie Wind Turbines,Wind Onshore,6.4,3.2,2.0,,Operational,Land Surrounding Middle Balbeggie Balbeggie Avenue Balbeggie Thornton Fife,Fife,Scotland,Scotland,,327760,696279.0,20/11/2016,"(56.15369995191153, -3.164491306525496)"
3302,4097,04/03/2016,Temporis Capital,Upper Holton Wind Farm,Wind Onshore,11.5,2.3,5.0,,Operational,"Wind Farm, Upper Holton, Holton, Suffolk",Suffolk,Eastern,England,,640495,280140.0,26/02/2016,"(52.36649114835456, 1.5311326698679388)"
3309,4104,24/06/2014,The Renewables Infrastructure Group (TRIG),Tallentire Hill,Wind Onshore,12.0,2.0,6.0,,Operational,"Hill Farm, Cockermouth, Cumbria. CA13 0PY",Cumbria,North West,England,,312500,535500.0,09/07/2013,"(54.706880674519624, -3.359500225253109)"
3312,4107,27/11/2018,Energia ,Pollnalaght (Cornavarrow),Wind Onshore,38.4,3.2,12.0,,Operational,"Pollnalaght, Drumquin, Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,48480,532854.0,15/06/2018,"(54.568311121626266, -7.441023274627118)"
3313,4108,24/08/2017,Seegronan Windfarm,Seegronan,Wind Onshore,13.8,2.3,6.0,,Operational,"Killeter, Strabane, Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,122608,534966.0,15/08/2016,"(54.63333168156997, -6.300004703044524)"
3314,4109,24/06/2014,The Renewables Infrastructure Group (TRIG),Meikle Carewe,Wind Onshore,10.0,0.85,12.0,,Operational,"Rickarton Farms, Stonehaven, ",Grampian,Scotland,Scotland,,383200,792000.0,30/07/2013,"(57.01881816610309, -2.2783136864447826)"
3315,4110,03/04/2018,Statkraft UK,Andershaw,Wind Onshore,36.0,2.5,14.0,,Operational,Andershaw Forest South of Douglas,Strathclyde,Scotland,Scotland,ML11 0SQ,283500,625500.0,02/11/2016,"(55.50932640838777, -3.8462637410043143)"
3316,4111,04/01/2017,Energia Renewables,Eshmore,Wind Onshore,6.9,2.3,3.0,,Operational,"Crockanavark, Eshmore and Altaglushan Townlands , Galbally, Dungannon. Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,80500,528499.0,22/12/2016,"(54.55055077013539, -6.94295754601642)"
3317,4112,18/04/2019,Renewable Energy Systems (RES),Castlecraig,Wind Onshore,25.0,2.5,10.0,,Operational,"Castlecraig (Slieve Glass) in Castlecraig, Sloughan, Killoan and Curraghmacall townlands. The proposed site is approximately 5 km south of Killen and 5 km west of Drumquin beside Lough Hill.",Co. Tyrone,Northern Ireland,Northern Ireland,,39597,540549.0,15/08/2018,"(54.630890886919, -7.587211356476059)"
3318,4113,02/12/2014,Wind Direct,East Midlands Airport,Wind Onshore,1.0,0.25,4.0,,Operational,"Castle Donington, Leicestershire",Leicestershire,East Midlands,England,,444390,325610.0,10/05/2011,"(52.82619762854882, -1.342652393974707)"
3319,4114,26/06/2014,Greencoat UK Wind/Bay Wa .r.e/ SunGift,Kildrummy Windfarm,Wind Onshore,18.4,2.3,8.0,,Operational,"Clashnarae Hill, Kildrummy, Alford",Grampian,Scotland,Scotland,,357655,815170.0,14/02/2013,"(57.22529717860071, -2.7029307288333957)"
3321,4116,19/04/2017,Airvolution Energy,Airfield Farm (Podington),Wind Onshore,8.6,2.0,3.0,,Operational,"Airfield Farm, adjacent to Santa Pod raceway, Podington, Wellingborough",Bedfordshire,Eastern,England,NN29 7XA,495095,260698.0,15/02/2017,"(52.2362715479296, -0.6088792166936285)"
3323,4118,27/11/2017,Scottish and Southern Energy (SSE),Dunmaglass Wind Farm,Wind Onshore,94.0,3.0,33.0,,Operational,"Dunmaglass, Highlands, SW of Inverness",Highland,Scotland,Scotland,,264000,820120.0,13/09/2016,"(57.25148006944491, -4.255802337851775)"
3324,4119,02/07/2014,Scottish Power Renewables,Harestanes,Wind Onshore,136.0,2.0,68.0,,Operational,Mofatt Village Dumfries and Galloway,Dumfries and Galloway,Scotland,Scotland,,300000,595000.0,01/07/2014,"(55.239029213040105, -3.574197586877193)"
3325,4120,02/01/2020,EDF Energy Renewables,Corriemoillie,Wind Onshore,54.4,3.2,17.0,125.0,Operational,Garve,Highland,Scotland,Scotland,,234700,867700.0,26/04/2017,"(57.66872565617344, -4.773018029760208)"
3326,4121,18/01/2016,Greencoat UK Wind,Hill of Stroupster Windfarm,Wind Onshore,29.9,2.5,12.0,,Operational,"Stroupster, Caithness",Highland,Scotland,Scotland,,334250,966250.0,03/12/2015,"(58.579264596042165, -3.1323773904582604)"
3327,4122,03/11/2015,RWE npower,Burn of Whilk,Wind Onshore,22.5,2.5,9.0,,Operational,"Burn of Whilk
Hill of Yarrows
Caithness",Highland,Scotland,Scotland,,329650,941550.0,07/08/2015,"(58.35675889549074, -3.2038537369304145)"
3328,4123,05/01/2015,Eneco,Lochluichart,Wind Onshore,51.0,3.0,17.0,,Operational,"Loch Luichart, Garve",Highland,Scotland,Scotland,,232030,866235.0,14/05/2014,"(57.654594170394944, -4.816701149722273)"
3329,4124,27/02/2017,Scottish and Southern Energy (SSE),Tievenameenta,Wind Onshore,34.5,2.3,15.0,,Operational,"Tievenameenta, Co Tyrone (townlands of Crigshane, Ballymongan, Shanaghy, Tievenameenta, Crighdenis)",Co. Tyrone,Northern Ireland,Northern Ireland,,40010,548802.0,15/02/2017,"(54.70499971086097, -7.59100591699807)"
3330,4125,29/02/2016,Wind Prospect Developments/ EDF,Burnhead,Wind Onshore,26.0,2.0,13.0,,Operational,"S/Of Stoneridge, Falkirk, ",Stirling,Scotland,Scotland,,289158,670199.0,29/02/2016,"(55.91207805852042, -3.7748347335883965)"
3337,4133,03/09/2020,Frank A Smart & Son Ltd,Easter Tolmauds,Wind Onshore,1.6,0.8,2.0,,Operational,"Easter Tolmauds, Torphins, Banchory, Grampian",Grampian,Scotland,Scotland,AB31 4PP,362478,807524.0,15/10/2016,"(57.15703931498146, -2.6219052865518906)"
3342,4138,26/06/2014,Greencoat UK Wind,Maerdy,Wind Onshore,24.0,3.0,8.0,,Operational,"land NW of Maerdy and NE of Treherbert, Rhigos",Mid Glamorgan,Wales,Wales,CF44 9UF,295189,200983.0,31/08/2013,"(51.69777452303902, -3.5179364735327394)"
3343,4139,04/05/2017,Altamuskin Windfarm (Energia),Altamuskin,Wind Onshore,7.1,2.35,3.0,110.0,Operational,"Altamooskan (Altamuskin) TD, Sixmilecross, Omagh, Co. Tyrone.",Co. Tyrone,Northern Ireland,Northern Ireland,,70474,526049.0,15/03/2017,"(54.522197097155704, -7.094612095482738)"
3344,4140,23/07/2015,Private Developer,Woodlands Barton Wind Project,Wind Onshore,4.6,2.3,2.0,,Operational,Nr Roche St Austell Cornwall,Cornwall,South West,England,,200211,62170.0,01/09/2014,"(50.42531742894459, -4.814113130058647)"
3345,4141,21/07/2014,,Westnewton,Wind Onshore,6.2,2.05,3.0,,Operational,"Warwick Hall Farm, Westnewton, Cumbria. CA7 3PF",Cumbria,North West,England,,313505,543564.0,01/05/2014,"(54.77950203958305, -3.346309165295614)"
3346,4142,03/01/2017,Gaelectric Developments/ CGN Europe Energy,Windyhill Road (Dunbeg) Wind Farm,Wind Onshore,42.0,3.0,14.0,,Operational,"Picnic Area, Dunbeg Townland, Limavady, Co Londonderry. BT45",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,88128,587145.0,14/11/2014,"(55.08042972875792, -6.888612090463271)"
3347,4143,03/01/2017,Gaelectric Developments/ CGN Europe Energy,Cloonty Wind Farm,Wind Onshore,12.0,3.0,4.0,,Operational,"122 Castlecat Road Derry Keighan, Cloonty Townland, Ballymoney, Co Antrim. BT53 8AP",Co. Antrim,Northern Ireland,Northern Ireland,,119820,589284.0,15/08/2016,"(55.11849216075446, -6.395821666168315)"
3355,4151,30/10/2018,DW Consultancy,Curraghamulkin (Dooish Wind Farm),Wind Onshore,30.0,3.0,10.0,130.0,Operational,"Coolavannagh TD, Curraghmulkin TD, Dooish TD, Drumquin",Co. Tyrone,Northern Ireland,Northern Ireland,,43843,534280.0,15/07/2018,"(54.57782620156766, -7.514138305203558)"
3356,4152,27/11/2018,Energia ,Teiges,Wind Onshore,11.0,2.2,5.0,,Operational,"Eshnanumera and Eshnasillog More townlands (adjacent to Lisnaskea Forest), Brookeborough TD, Co. Fermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,,48958,503174.0,19/07/2018,"(54.3031006419415, -7.398529096453004)"
3359,4155,03/01/2017,Gaelectric Developments/ CGN Europe Energy,Monnaboy Wind Farm,Wind Onshore,12.0,2.5,4.0,,Operational,"on land located east of 62 Monnaboy Road, Greysteel",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,BT47 3HP,71649,577014.0,15/11/2015,"(54.97913918075924, -7.134074959976912)"
3360,4156,28/07/2017,Brookfield Renewable Energy Group,Crockandun,Wind Onshore,15.0,2.5,6.0,,Operational,"approximately 450m west south-west of junction of Cullion Road and Drumard Road, Draperstown, Magherafelt.",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,BT45 5NR,92983,548733.0,09/03/2017,"(54.739481411722906, -6.771874068948223)"
3361,4157,02/10/2018,Scottish Power Renewables,Hare Hill Extension,Wind Onshore,29.8,0.85,35.0,,Operational,"New Cumnock, East Ayreshire",Strathclyde,Scotland,Scotland,,265320,609703.0,15/09/2016,"(55.36280437392024, -4.12628273504079)"
3363,4159,05/01/2015,Bristol Port Company,Avonmouth Port - extension,Wind Onshore,9.0,3.0,3.0,,Operational,"St Andrews House, St Andrew's Rd, Avonmouth, Bristol, Avon",Avon,South West,England,BS11 9DQ,351593,178451.0,01/04/2014,"(51.50290906100263, -2.698799124828583)"
3367,4163,20/01/2015,EDF,Barmoor South Wind Farm,Wind Onshore,13.8,2.3,6.0,,Operational,Between Ford And Lowick Bowsden Berwick-upon-Tweed ,Northumberland,North East,England,,398519,638193.0,19/01/2015,"(55.63729276907627, -2.0250875614880552)"
3368,4164,16/08/2016,Blue Energy,Winwick,Wind Onshore,12.3,2.3,6.0,,Operational,"Land To North and West Of Winwick Warren, Cold Ashby Road, Winwick, Northampton, Northamptonshire, NN6",Northamptonshire,East Midlands,England,,463950,274602.0,30/06/2016,"(52.36574736568593, -1.062238436201658)"
3371,4167,03/10/2016,Infinis (formerly Novera Energy),Sisters,Wind Onshore,8.2,2.05,4.0,,Operational,"west of Widdrington, approximately 8km north of Ashington, Northumberland",Northumberland,North East,England,,424367,595143.0,30/07/2016,"(55.24987366287595, -1.6182471056349053)"
3372,4168,16/02/2015,Airvolution Energy,East Youlstone Wind Farm,Wind Onshore,4.0,2.0,2.0,,Operational,"East Youlstone, Devon",Devon,South West,England,,228127,115941.0,15/02/2015,"(50.91726891560846, -4.446500144892994)"
3373,4170,07/05/2015,SAC Environment And Design,Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,Wind Onshore,6.9,2.3,3.0,,Operational,"Auchnagatt, Ellon, AB41 8YD",Grampian,Scotland,Scotland,,390213,840362.0,16/02/2015,"(57.453450142452915, -2.164743837362445)"
3377,4174,05/05/2015,Banks Renewables,Heysham South Wind Farm,Wind Onshore,7.5,2.5,3.0,,Operational,"Lancaster Morecambe Bypass, Heaton With Oxcliffe, Lancashire",Lancashire,North West,England,,343444,460153.0,24/04/2015,"(54.03424424362481, -2.8649822284610518)"
3378,4175,30/11/2016,Aviva,Woolley Hill Wind Farm,Wind Onshore,10.0,2.3,4.0,,Operational,"North of the A14, between the villages of Ellington & Woolley",Cambridgeshire,Eastern,England,,515374,272655.0,30/04/2014,"(52.339849765553254, -0.3079587151978191)"
3380,4177,04/06/2020,Baywind Co-op & Energy4All & Belltown Power,Furness Wind Farm/High Winds (Harlock Repowering),Wind Onshore,11.5,2.3,5.0,,Operational,"Standish Cote & Mean Moor, Pennington, Marton & Harlock Hill, Ulverston, Cumbria",Cumbria,North West,England,LA12 0,325251,479875.0,17/11/2016,"(54.20914056216832, -3.147584582084416)"
3381,4178,01/06/2018,Scottish and Southern Energy (SSE)/ GIB,Clyde Wind Farm Extension (Clyde 2),Wind Onshore,172.8,3.2,54.0,,Operational,"Upper Clyde Valley, surrounding Camps Reservoir",Strathclyde,Scotland,Scotland,,302328,624463.0,15/08/2017,"(55.50414267238305, -3.547901670328315)"
3382,4179,04/04/2017,NTR PLC,Quixwood Moor,Wind Onshore,29.9,2.3,13.0,,Operational,Scottish Borders,Borders,Scotland,Scotland,,378028,663859.0,09/03/2017,"(55.86739954617285, -2.352658973506925)"
3387,4184,26/11/2018,Fyne Futures,Auchadaduie Wind Farm,Wind Onshore,6.9,2.3,3.0,,Operational,Land South Of Auchadaduie Barr Glen Glenbarr Kintyre,Strathclyde,Scotland,Scotland,,169193,633969.0,21/11/2018,"(55.54465916045218, -5.6601939400568675)"
3396,4193,18/04/2017,REG Windpower,Mynydd Brombil Wind Farm,Wind Onshore,8.0,2.0,4.0,,Operational,"Brombil, Port Talbot",Neath Port Talbot,Wales,Wales,,279141,188569.0,15/01/2017,"(51.5829799586117, -3.7457391778348397)"
3397,4194,18/04/2017,REG Windpower,Mynydd Portref Wind Farm extension,Wind Onshore,12.0,2.0,6.0,,Operational,,Mid Glamorgan,Wales,Wales,,299608,185606.0,01/03/2017,"(51.56036900360753, -3.4496059062788276)"
3399,4196,29/05/2015,Renewable Energy Systems (RES),Longlands Lane,Wind Onshore,1.5,1.5,1.0,,Operational,"Longlands Lane, Margam, 
nr junction 38 of the M4.",Gwent,Wales,Wales,,278940,186385.0,01/12/2014,"(51.56330882145468, -3.747885446992546)"
3403,4200,12/04/2021,BayWa r.e. (formerly Forsa),Inverclyde Wind Farm (Corlic Hill),Wind Onshore,24.0,3.0,8.0,,Operational,"Corlic Hill, near Greenock & Port Glasgow",Strathclyde,Scotland,Scotland,,229563,672854.0,20/02/2021,"(55.9184872623853, -4.728912284524894)"
3407,4206,23/01/2017,Longcliffe Quarries,Ryder Point Quarry Wind Turbines,Wind Onshore,5.0,2.5,2.0,,Operational,Ryder Point Quarry North Of Manystones Lane Brassington Derbyshire,Derbyshire,East Midlands,England,,425455,355000.0,15/12/2015,"(53.09160807060043, -1.6213573945777573)"
3409,4210,21/12/2015,John Laing Environmental Assets Group,Burton Wold Wind Farm - Northern Extension,Wind Onshore,14.4,1.6,9.0,,Operational,"Burton Wold Wind Farm, Wold Road, Burton Latimer",Northamptonshire,East Midlands,England,NN15 5PU,491902,274577.0,01/08/2014,"(52.361554124437596, -0.651839695223258)"
3410,4211,02/05/2017,EDF Energy Renewables,Pearie Law Wind Farm,Wind Onshore,19.2,3.2,6.0,,Operational,"Pearie Law, West Calder, West Lothian, EH55",Lothian,Scotland,Scotland,,302205,659690.0,01/12/2016,"(55.82052191617558, -3.5624061680158707)"
3414,4215,01/06/2018,Fred Olsen Renewables,Crystal Rig Wind Farm Phase III,Wind Onshore,13.8,2.3,6.0,,Operational,"Crystal Rigg Wind Farm, Cranshaws Duns, Scottish Borders",Borders,Scotland,Scotland,TD11 3SR,366700,670500.0,22/12/2016,"(55.92641320134754, -2.534479571986365)"
3417,4218,01/02/2018,Green Breeze Energy Ltd,Drumduff,Wind Onshore,8.5,2.83,3.0,,Operational,"DRUMDUFF, BLACKRIDGE",Lothian,Scotland,Scotland,,288877,669339.0,11/07/2017,"(55.90428999762997, -3.778974020728073)"
3422,4223,29/02/2016,EDF/Wind Prospect,Rhodders Wind Farm,Wind Onshore,12.0,2.0,6.0,,Operational,Site West Of Burnfoot Hill Tillicoultry Clackmannanshire,Clackmannanshire,Scotland,Scotland,FK13 6A,289525,702720.0,29/02/2016,"(56.204209987218455, -3.7823927590780966)"
3424,4225,04/06/2018,Gresham House,Harburnhead Wind Farm,Wind Onshore,51.7,3.0,22.0,126.0,Operational,"West Calder, West Lothian",Lothian,Scotland,Scotland,,304070,658330.0,01/12/2016,"(55.808681202179464, -3.5321721583194177)"
3426,4227,03/10/2017,Temporis Capital,Dunsland Cross Wind Farm,Wind Onshore,7.5,3.0,3.0,,Operational,Land At Dunsland Cross South Of Brandis Corner Holsworthy Devon EX22 7YH,Devon,South West,England,,240884,103359.0,08/03/2017,"(50.807875037167804, -4.259697100241611)"
3432,4233,04/01/2017,Capital Dynamics,Potato Pot Wind Farm,Wind Onshore,6.0,2.0,3.0,,Operational,"Land at
Potato Pot
Branthwaite
Workington
Cumbria",Cumbria,North West,England,,303000,524100.0,15/09/2016,"(54.60272488709748, -3.503098317014008)"
3434,4235,04/04/2017,Community Windpower,Millour Hill Community Windfarm (Extension),Wind Onshore,6.4,3.2,2.0,,Operational,Site To North Of Baidland Hill Dalry Ayrshire,Strathclyde,Scotland,Scotland,,225498,652662.0,31/03/2016,"(55.7358208742753, -4.780905922737425)"
3439,4240,05/01/2015,West Coast Energy,Blantyre Muir Wind Farm extension,Wind Onshore,7.5,2.5,3.0,,Operational,Near Laigh Muirhouses Farm Muttonhole Road Hamilton ,Strathclyde,Scotland,Scotland,,268888,651781.0,15/01/2014,"(55.74160586076006, -4.0900005525205865)"
3442,4244,23/07/2019,EDF Energy Renewables/ Infinergy,Dorenell Wind Farm (Previously Site A and B Scaut Hill),Wind Onshore,177.0,3.0,59.0,126.0,Operational,"Glenlivet Estate, Dufftown, Speyside,  Moray",Grampian,Scotland,Scotland,,332000,829500.0,15/09/2018,"(57.350899489260705, -3.1316809157238916)"
3443,4245,03/07/2017,Gaelectric Developments/ CGN Europe Energy,Inishative,Wind Onshore,13.8,2.3,6.0,,Operational,"Inishative Road, Sixmilecross, Omagh (Slievebeg. Land between Ballygawley and Pomeroy, approximately 1.5km north of Altmore Forest, Townland of Inishative)",Co. Tyrone,Northern Ireland,Northern Ireland,,76324,530621.0,13/03/2017,"(54.56689650562894, -7.009606355014689)"
